provider,field,correct,total,accuracy_%,hallucination_count
gemini,vendor_name,13,14,92.9,1
gemini,invoice_number,13,14,92.9,0
gemini,date,13,14,92.9,0
gemini,amount,13,14,92.9,0
gemini,currency,14,14,100.0,0
gemini,gst_details,14,14,100.0,0
gemini,line_items,10,14,71.4,0
gemini,OVERALL,90,98,91.8
gemini,avg_latency_s,,,7.121
gemini,cost_per_100_bills_usd,,,$0.0861

groq,vendor_name,14,14,100.0,0
groq,invoice_number,13,14,92.9,0
groq,date,9,14,64.3,0
groq,amount,13,14,92.9,0
groq,currency,14,14,100.0,0
groq,gst_details,10,14,71.4,0
groq,line_items,11,14,78.6,0
groq,OVERALL,84,98,85.7
groq,avg_latency_s,,,26.859
groq,cost_per_100_bills_usd,,,$0.0463

